Dataset,Accuracy,F1-Score,Sensitivity,Specificity
CPA1.xlsx,0.8,0.79742351,0.811594203,0.666666667
CPA2.xlsx,0.86,0.860168607,0.860708535,0.851851852
CPA3.xlsx,0.84,0.838235294,0.81,0.9
CPB1.xlsx,0.86,0.860168067,0.863929147,0.814814815
CPB2.xlsx,0.82,0.820216086,0.823671498,0.777777778
CPB3.xlsx,0.92,0.920128205,0.922705314,0.888888889
CPB4.xlsx,0.9,0.900120434,0.900966184,0.888888889
CPB5.xlsx,0.893333333,0.895643364,0.91,0.86
CPB6.xlsx,0.906666667,0.908885116,0.93,0.86
CPB7.xlsx,0.9,0.899879952,0.90224359,0.846153846
