Dataset,Accuracy,F1-Score,Sensitivity,Specificity
CPA1.xlsx,0.76,0.758846154,0.768115942,0.666666667
CPA2.xlsx,0.84,0.837898194,0.83252818,0.925925926
CPA3.xlsx,0.813333333,0.805889079,0.76,0.92
CPB1.xlsx,0.86,0.860168607,0.860708535,0.851851852
CPB2.xlsx,0.84,0.84025641,0.842190016,0.814814815
CPB3.xlsx,0.88,0.88,0.879227053,0.888888889
CPB4.xlsx,0.9,0.900120434,0.900966184,0.888888889
CPB5.xlsx,0.893333333,0.895061728,0.9,0.88
CPB6.xlsx,0.893333333,0.895643364,0.91,0.86
CPB7.xlsx,0.9,0.9,0.901442308,0.865384615
